Timestamp,personality_irl,personality_online,friends_irl,friends_online
4/6/2024 4:30:54,Introvert,Introvert,1,2
4/6/2024 5:40:06,Introvert,Introvert,3,8
4/6/2024 6:03:21,Introvert,Introvert,2,2
4/6/2024 6:45:42,Extrovert,Introvert,4,4
4/6/2024 6:58:32,Introvert,Introvert,6,8
4/6/2024 7:32:51,Extrovert,Extrovert,2,4
4/6/2024 7:34:35,Introvert,Introvert,6,6
4/6/2024 8:16:46,Introvert,Introvert,5,5
4/6/2024 8:24:02,Introvert,Introvert,3,1
4/6/2024 8:41:41,Introvert,Extrovert,3,3
4/6/2024 8:49:25,Extrovert,Extrovert,5,10
4/6/2024 9:02:08,Introvert,Introvert,3,3
4/6/2024 9:19:18,Introvert,Extrovert,4,4
4/6/2024 9:46:53,Extrovert,Extrovert,6,10
4/6/2024 9:50:46,Extrovert,Extrovert,3,2
4/6/2024 10:09:30,Introvert,Introvert,1,1
4/6/2024 10:22:52,Extrovert,Introvert,2,2
4/6/2024 10:26:37,Extrovert,Extrovert,7,10
4/6/2024 10:36:20,Introvert,Extrovert,4,10
4/6/2024 10:45:19,Extrovert,Extrovert,3,10
4/6/2024 11:45:07,Introvert,Extrovert,3,9
4/6/2024 11:57:49,Introvert,Introvert,4,6
4/6/2024 12:12:54,Introvert,Introvert,2,5
4/6/2024 12:16:42,Introvert,Extrovert,6,3
4/6/2024 12:25:13,Extrovert,Introvert,3,3
4/6/2024 13:46:09,Extrovert,Introvert,10,7
4/7/2024 13:36:25,Introvert,Extrovert,10,10
4/7/2024 18:52:50,Introvert,Extrovert,2,10
4/7/2024 22:05:19,Introvert,Introvert,2,2
